tensor_name,shard,dtype,shape,rank,parameter_count,payload_bytes,subsystem,component,layer_id,expert_id,initial_text_scope,classification_rule,placement_candidate,notes
model.language_model.layers.18.attn_hyper_connection.block_inject_weight.weight,model-00053-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.attn_hyper_connection.hc_norm.weight,model-00053-of-00131.safetensors,BF16,10240,1,10240,20480,text,gated_residual,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.attn_hyper_connection.input_mix_weight_down.weight,model-00053-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,gated_residual,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.attn_hyper_connection.input_mix_weight_up.weight,model-00053-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,gated_residual,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.linear_attn.A_log,model-00053-of-00131.safetensors,BF16,48,1,48,96,text,gdn,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.linear_attn.conv1d.weight,model-00053-of-00131.safetensors,BF16,10240x1x4,3,40960,81920,text,gdn,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.linear_attn.dt_bias,model-00053-of-00131.safetensors,BF16,48,1,48,96,text,gdn,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.linear_attn.in_proj_a.weight,model-00053-of-00131.safetensors,BF16,48x2560,2,122880,245760,text,gdn,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.linear_attn.in_proj_b.weight,model-00053-of-00131.safetensors,BF16,48x2560,2,122880,245760,text,gdn,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.linear_attn.in_proj_qkv.weight,model-00053-of-00131.safetensors,BF16,10240x2560,2,26214400,52428800,text,gdn,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.linear_attn.in_proj_z.weight,model-00053-of-00131.safetensors,BF16,6144x2560,2,15728640,31457280,text,gdn,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.linear_attn.norm.weight,model-00053-of-00131.safetensors,BF16,128,1,128,256,text,gdn,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.linear_attn.out_proj.weight,model-00053-of-00131.safetensors,BF16,2560x6144,2,15728640,31457280,text,gdn,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.mlp.experts.down_proj,model-00055-of-00131.safetensors,BF16,512x2560x640,3,838860800,1677721600,text,routed_experts,18,STACKED_0_511,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:routed_experts,ROUTED_EXPERT_CACHE_CANDIDATE,canonical tensor stacks all 512 routed experts
model.language_model.layers.18.mlp.experts.gate_up_proj,model-00054-of-00131.safetensors,BF16,512x1280x2560,3,1677721600,3355443200,text,routed_experts,18,STACKED_0_511,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:routed_experts,ROUTED_EXPERT_CACHE_CANDIDATE,canonical tensor stacks all 512 routed experts
model.language_model.layers.18.mlp.gate.weight,model-00055-of-00131.safetensors,BF16,512x2560,2,1310720,2621440,text,router,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:router,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.mlp.shared_expert.down_proj.weight,model-00055-of-00131.safetensors,BF16,2560x640,2,1638400,3276800,text,shared_expert,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.mlp.shared_expert.gate_proj.weight,model-00055-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,shared_expert,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.mlp.shared_expert.up_proj.weight,model-00055-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,shared_expert,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.mlp.shared_expert_gate.weight,model-00055-of-00131.safetensors,BF16,1x2560,2,2560,5120,text,shared_expert,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.mlp_hyper_connection.block_inject_weight.weight,model-00055-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.mlp_hyper_connection.hc_norm.weight,model-00055-of-00131.safetensors,BF16,10240,1,10240,20480,text,gated_residual,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.mlp_hyper_connection.input_mix_weight_down.weight,model-00055-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,gated_residual,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.18.mlp_hyper_connection.input_mix_weight_up.weight,model-00055-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,gated_residual,18,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.attn_hyper_connection.block_inject_weight.weight,model-00055-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.attn_hyper_connection.hc_norm.weight,model-00055-of-00131.safetensors,BF16,10240,1,10240,20480,text,gated_residual,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.attn_hyper_connection.input_mix_weight_down.weight,model-00055-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,gated_residual,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.attn_hyper_connection.input_mix_weight_up.weight,model-00055-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,gated_residual,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.mlp.experts.down_proj,model-00057-of-00131.safetensors,BF16,512x2560x640,3,838860800,1677721600,text,routed_experts,19,STACKED_0_511,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:routed_experts,ROUTED_EXPERT_CACHE_CANDIDATE,canonical tensor stacks all 512 routed experts
model.language_model.layers.19.mlp.experts.gate_up_proj,model-00056-of-00131.safetensors,BF16,512x1280x2560,3,1677721600,3355443200,text,routed_experts,19,STACKED_0_511,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:routed_experts,ROUTED_EXPERT_CACHE_CANDIDATE,canonical tensor stacks all 512 routed experts
model.language_model.layers.19.mlp.gate.weight,model-00057-of-00131.safetensors,BF16,512x2560,2,1310720,2621440,text,router,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:router,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.mlp.shared_expert.down_proj.weight,model-00057-of-00131.safetensors,BF16,2560x640,2,1638400,3276800,text,shared_expert,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.mlp.shared_expert.gate_proj.weight,model-00057-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,shared_expert,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.mlp.shared_expert.up_proj.weight,model-00057-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,shared_expert,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.mlp.shared_expert_gate.weight,model-00057-of-00131.safetensors,BF16,1x2560,2,2560,5120,text,shared_expert,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.mlp_hyper_connection.block_inject_weight.weight,model-00057-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.mlp_hyper_connection.hc_norm.weight,model-00057-of-00131.safetensors,BF16,10240,1,10240,20480,text,gated_residual,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.mlp_hyper_connection.input_mix_weight_down.weight,model-00057-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,gated_residual,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.mlp_hyper_connection.input_mix_weight_up.weight,model-00057-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,gated_residual,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.self_attn.indexer.index_qk_proj.weight,model-00057-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,qsa_indexer,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:qsa_indexer,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.self_attn.indexer.k_layernorm.weight,model-00057-of-00131.safetensors,BF16,128,1,128,256,text,qsa_indexer,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:qsa_indexer,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.self_attn.indexer.q_layernorm.weight,model-00057-of-00131.safetensors,BF16,128,1,128,256,text,qsa_indexer,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:qsa_indexer,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.self_attn.k_norm.weight,model-00057-of-00131.safetensors,BF16,256,1,256,512,text,qsa_attention,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:qsa_attention,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.self_attn.k_proj.weight,model-00057-of-00131.safetensors,BF16,512x2560,2,1310720,2621440,text,qsa_attention,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:qsa_attention,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.self_attn.o_proj.weight,model-00057-of-00131.safetensors,BF16,2560x6144,2,15728640,31457280,text,qsa_attention,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:qsa_attention,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.self_attn.q_norm.weight,model-00057-of-00131.safetensors,BF16,256,1,256,512,text,qsa_attention,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:qsa_attention,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.self_attn.q_proj.weight,model-00057-of-00131.safetensors,BF16,12288x2560,2,31457280,62914560,text,qsa_attention,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:qsa_attention,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.19.self_attn.v_proj.weight,model-00057-of-00131.safetensors,BF16,512x2560,2,1310720,2621440,text,qsa_attention,19,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:qsa_attention,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.attn_hyper_connection.block_inject_weight.weight,model-00057-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.attn_hyper_connection.hc_norm.weight,model-00057-of-00131.safetensors,BF16,10240,1,10240,20480,text,gated_residual,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.attn_hyper_connection.input_mix_weight_down.weight,model-00057-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,gated_residual,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.attn_hyper_connection.input_mix_weight_up.weight,model-00057-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,gated_residual,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.linear_attn.A_log,model-00057-of-00131.safetensors,BF16,48,1,48,96,text,gdn,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.linear_attn.conv1d.weight,model-00057-of-00131.safetensors,BF16,10240x1x4,3,40960,81920,text,gdn,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.linear_attn.dt_bias,model-00057-of-00131.safetensors,BF16,48,1,48,96,text,gdn,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.linear_attn.in_proj_a.weight,model-00057-of-00131.safetensors,BF16,48x2560,2,122880,245760,text,gdn,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.linear_attn.in_proj_b.weight,model-00057-of-00131.safetensors,BF16,48x2560,2,122880,245760,text,gdn,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.linear_attn.in_proj_qkv.weight,model-00057-of-00131.safetensors,BF16,10240x2560,2,26214400,52428800,text,gdn,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.linear_attn.in_proj_z.weight,model-00057-of-00131.safetensors,BF16,6144x2560,2,15728640,31457280,text,gdn,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.linear_attn.norm.weight,model-00057-of-00131.safetensors,BF16,128,1,128,256,text,gdn,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.linear_attn.out_proj.weight,model-00057-of-00131.safetensors,BF16,2560x6144,2,15728640,31457280,text,gdn,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.mlp.experts.down_proj,model-00059-of-00131.safetensors,BF16,512x2560x640,3,838860800,1677721600,text,routed_experts,2,STACKED_0_511,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:routed_experts,ROUTED_EXPERT_CACHE_CANDIDATE,canonical tensor stacks all 512 routed experts
model.language_model.layers.2.mlp.experts.gate_up_proj,model-00058-of-00131.safetensors,BF16,512x1280x2560,3,1677721600,3355443200,text,routed_experts,2,STACKED_0_511,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:routed_experts,ROUTED_EXPERT_CACHE_CANDIDATE,canonical tensor stacks all 512 routed experts
model.language_model.layers.2.mlp.gate.weight,model-00059-of-00131.safetensors,BF16,512x2560,2,1310720,2621440,text,router,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:router,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.mlp.shared_expert.down_proj.weight,model-00059-of-00131.safetensors,BF16,2560x640,2,1638400,3276800,text,shared_expert,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.mlp.shared_expert.gate_proj.weight,model-00059-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,shared_expert,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.mlp.shared_expert.up_proj.weight,model-00059-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,shared_expert,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.mlp.shared_expert_gate.weight,model-00059-of-00131.safetensors,BF16,1x2560,2,2560,5120,text,shared_expert,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.mlp_hyper_connection.block_inject_weight.weight,model-00059-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.mlp_hyper_connection.hc_norm.weight,model-00059-of-00131.safetensors,BF16,10240,1,10240,20480,text,gated_residual,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.mlp_hyper_connection.input_mix_weight_down.weight,model-00059-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,gated_residual,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.2.mlp_hyper_connection.input_mix_weight_up.weight,model-00059-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,gated_residual,2,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.attn_hyper_connection.block_inject_weight.weight,model-00059-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.attn_hyper_connection.hc_norm.weight,model-00059-of-00131.safetensors,BF16,10240,1,10240,20480,text,gated_residual,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.attn_hyper_connection.input_mix_weight_down.weight,model-00059-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,gated_residual,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.attn_hyper_connection.input_mix_weight_up.weight,model-00059-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,gated_residual,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.linear_attn.A_log,model-00059-of-00131.safetensors,BF16,48,1,48,96,text,gdn,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.linear_attn.conv1d.weight,model-00060-of-00131.safetensors,BF16,10240x1x4,3,40960,81920,text,gdn,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.linear_attn.dt_bias,model-00060-of-00131.safetensors,BF16,48,1,48,96,text,gdn,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.linear_attn.in_proj_a.weight,model-00060-of-00131.safetensors,BF16,48x2560,2,122880,245760,text,gdn,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.linear_attn.in_proj_b.weight,model-00060-of-00131.safetensors,BF16,48x2560,2,122880,245760,text,gdn,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.linear_attn.in_proj_qkv.weight,model-00060-of-00131.safetensors,BF16,10240x2560,2,26214400,52428800,text,gdn,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.linear_attn.in_proj_z.weight,model-00060-of-00131.safetensors,BF16,6144x2560,2,15728640,31457280,text,gdn,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.linear_attn.norm.weight,model-00060-of-00131.safetensors,BF16,128,1,128,256,text,gdn,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.linear_attn.out_proj.weight,model-00060-of-00131.safetensors,BF16,2560x6144,2,15728640,31457280,text,gdn,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gdn,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.mlp.experts.down_proj,model-00062-of-00131.safetensors,BF16,512x2560x640,3,838860800,1677721600,text,routed_experts,20,STACKED_0_511,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:routed_experts,ROUTED_EXPERT_CACHE_CANDIDATE,canonical tensor stacks all 512 routed experts
model.language_model.layers.20.mlp.experts.gate_up_proj,model-00061-of-00131.safetensors,BF16,512x1280x2560,3,1677721600,3355443200,text,routed_experts,20,STACKED_0_511,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:routed_experts,ROUTED_EXPERT_CACHE_CANDIDATE,canonical tensor stacks all 512 routed experts
model.language_model.layers.20.mlp.gate.weight,model-00062-of-00131.safetensors,BF16,512x2560,2,1310720,2621440,text,router,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:router,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.mlp.shared_expert.down_proj.weight,model-00062-of-00131.safetensors,BF16,2560x640,2,1638400,3276800,text,shared_expert,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.mlp.shared_expert.gate_proj.weight,model-00062-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,shared_expert,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.mlp.shared_expert.up_proj.weight,model-00062-of-00131.safetensors,BF16,640x2560,2,1638400,3276800,text,shared_expert,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.mlp.shared_expert_gate.weight,model-00062-of-00131.safetensors,BF16,1x2560,2,2560,5120,text,shared_expert,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:shared_expert,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.mlp_hyper_connection.block_inject_weight.weight,model-00062-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.mlp_hyper_connection.hc_norm.weight,model-00062-of-00131.safetensors,BF16,10240,1,10240,20480,text,gated_residual,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.mlp_hyper_connection.input_mix_weight_down.weight,model-00062-of-00131.safetensors,BF16,320x10240,2,3276800,6553600,text,gated_residual,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.20.mlp_hyper_connection.input_mix_weight_up.weight,model-00062-of-00131.safetensors,BF16,10240x320,2,3276800,6553600,text,gated_residual,20,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
model.language_model.layers.21.attn_hyper_connection.block_inject_weight.weight,model-00062-of-00131.safetensors,BF16,4x10240,2,40960,81920,text,gated_residual,21,,REQUIRED_INITIAL_TEXT,KQ-TENSOR-CLASSIFICATION-v1:gated_residual,ALWAYS_NEEDED_CANDIDATE,
